在哪儿借书？	借阅室
续借期满了怎么办？	请归还图书，否则按逾期处理
是么时候对所借图书提交续借请求无效？	借书当日
哪些图书不能续借？	逾期未还的图书、已被其他读者预约的图书不能续借。
被别人预约的图书可以续借吗？	不能
续借期满了还能续借吗？	不能
续借图示需要注意什么？	1.借书当日对所借图书提交续借请求无效。2.每册书只可续借一次
如何外借基藏书库外文图书？	"须先在我馆联机公共检索目录查询系统（OPAC）上发送外借请求，或利用卡片目录检索图书的索书号，由工作人员提取图书"
在哪发送外借基藏书库外文图书的请求？	我馆联机公共检索目录查询系统（OPAC）
怎么检索外借基藏书库外文图书的索书号？	利用卡片目录
可以自己提取外借基藏书库外文图书吗？	不可以
借书时有什么注意事项？	1.中文图书每次限借3册，图书所附光盘3盘，借期为31天。所借图书或光盘如无人预约，方可续借1次，续借期为31天（自续借操作执行日期加31天计算）。外文图书每次限借3册，借期为31天，不提供续借服务。2.借到图书时，应仔细检查是否有掉页、刻画、污损等情况，如发现应立即声明并请工作人员盖章。归还时如发现未经工作人员盖章的污损情况，按违规处理办法中有关规定执行。
借到图书时发现有掉页、刻画、污损等情况该怎么办？	"如发现应立即声明并请工作人员盖章。归还时如发现未经工作人员盖章的污损情况，按违规处理办法中有关规定执行。"
借到图书时要检查什么？	仔细检查是否有掉页、刻画、污损等情况
归还图书时发现未经工作人员盖章的污损情况会怎样？	按违规处理办法中有关规定执行。
什么时候发现的污损情况会视为违规？	归还时未经工作人员盖章的污损情况
何时可以对掉页、刻画、污损等情况盖章？	借到图书时
找谁对掉页、刻画、污损等情况盖章？	本馆工作人员
外借图书丢失/遗失怎么办？	"遗失本馆图书者应立即声明并积极寻找。以完全相同的同版图书（或经同意后用新版图书）抵赔，并另加10元加工费。详情查看http://www.nlc.cn/dsb_zyyfw/wdtsg/dzzn/ds_bjyxz/#"
遗失图书赔偿期限是多久？	　限期1个月购买赔偿的书刊资料，
限期时间内无法赔偿相同的同版图书怎么处理？	按文献类型进行不同的收费处理，详情查看http://www.nlc.cn/dsb_zyyfw/wdtsg/dzzn/ds_bjyxz/#
国内出版的普通文献限期时间内无法赔偿相同的同版怎么处理？	30（含）年前出版的，按原价格2倍乘以出版至今的年数赔偿；25（含）-29年前出版的，按原价格乘以出版至今的年数赔偿；20（含）-24年前出版的，按原价格的5倍赔偿；15（含）-19年前出版的，按原价格的4倍赔偿；10（含）-14年前出版的，按原价格的3倍赔偿；9（含）年内出版的，按原价2倍赔偿；并另付文献加工费每册10元
进口原版外文图书（社科文献）限期时间内无法赔偿相同的同版怎么处理？	25年前出版的，按原价格2倍乘以出版至今的年数赔偿；20（含）-24年前出版的，按原价格乘以出版至今的年数赔偿；15（含）-19年前出版的，按原价格的5倍赔偿；10（含）-14年前出版的，按原价格的4倍赔偿；5（含）-9（含）前出版的，按原价格的3倍赔偿；5年内出版的，按原价2倍赔偿；并另付文献加工费每册10元
进口原版外文图书（科技文献）限期时间内无法赔偿相同的同版怎么处理？	30（含）年前出版的，按原价格2倍乘以出版至今的年数赔偿；25（含）-29年前出版的，按原价格乘以出版至今的年数赔偿；20（含）-24年前出版的，按原价格的5倍赔偿；15（含）-19年前出版的，按原价格的4倍赔偿；10（含）-14年前出版的，按原价格的3倍赔偿；9（含）年内出版的，按原价2倍赔偿，并另付文献加工费每册10元
成套多卷本遗失如何赔偿？	遗失其中1册或数册，按全套价格予以赔偿，赔偿后不得索取其他卷册。每册有单价，且复本较多，按单册价格的相应倍数赔偿。 
民国时期出版的文献遗失如何赔偿？	按目前国家文物市场估价赔偿。
具有特殊价值的文献遗失如何赔偿？	按目前国家文物市场估价赔偿。
未标明价格的书刊资料献遗失如何赔偿？	参考同类书刊资料的价格赔偿
如果遗失文献找回，能否取回赔偿金？	可以，但须交纳从支付赔偿金日至归还文献日的逾期使用费。 
批划、涂改、污损（书籍）如何赔偿？	对批划、涂改、污损普通书刊资料者,根据情节轻重赔偿5-20元，对图书污损严重影响阅读者，按遗失文献的赔偿办法赔偿。对批划、涂改、污损特藏文献者，按以下标准赔偿：保存本、民国时期出版的文献、珍贵文献按批划、涂改、污损普通文献赔偿标准2倍赔偿。批划、涂改、污损普通古籍、善本文献者，按《中华人民共和国文物保护法》的相关条款处理
割页、撕扯文献。书籍如何赔偿？	割页、撕扯等严重损坏馆藏文献者，按遗失文献的赔偿办法赔偿
想借的中文图书已借出该怎么办？	可办理网上预约手续，预约成功，图书状态显示为“书到待取”后， 7日内到馆办理借书手续。未在期限内办理借书手续，7日后预约自动失效，同时须交纳违约金每册0.30元
什么是预约服务？	预约服务指想借的中文图书已借出的情况下，通过预约可以让读者第一时间知道什么时候可以借书
如何办理预约服务？	读者凭本人读者卡（在有效期内，无欠费记录）登录我馆联机公共检索目录查询系统（OPAC）办理图书预约。
在哪办理预约服务？	我馆联机公共检索目录查询系统
别人可以用我的读者卡办理预约服务吗？	可以
所有图书都可以预约吗？	不是，可以外借的中文图书才可以预约。
哪些图书可以预约？	可以外借的中文图书，并且已被借出（包括续借）时，才能预约
续借出去的中文图书可以预约吗？	可以
可以预约外文图书吗？	不可以
预约的图书必须借阅吗？	必须
预约可以取消吗？	不能
为什么《xxx》不能预约？	只有当图书已被借出（包括续借）时，才能预约
别人预约的书我可以预约吗？	可以，如果一册已外借的中文图书被多人预约，则以预约时间的先后为序
多人预约同一本书时，该书该先给谁？	如果一册已外借的中文图书被多人预约，则以预约时间的先后为序
为什么我的预约失效了？	如果所预约中文图书未能在预约的时间范围内还回，则该预约自动失效。
预约时间内图书没有换回会怎样？	该预约自动失效
预约后什么时候可以取书？	读者须随时查看所预约图书的状态，当状态为“书到待取”时，须在7日之内到馆办理借书手续，如果所预约中文图书未能在预约的时间范围内还回，则该预约自动失效
‘书到待取”的书需要在什么时候去取？	7日内办理借书手续
‘书到待取”的书需要办理什么手续？	借书手续
‘书到待取‘的图书可以在7日之后办理借书手续吗？	不可以，7日后预约自动失效，同时须交纳违约金每册0.30元。
为什么我要支付预约违约金？	如果您预约的图书是“书到待取”状态，须在7日之内到馆办理借书手续，如没有办理预约自动失效，同时须交纳违约金每册0.30元。
预约违约金怎么计算？	预约违约金为每册0.30元。
什么是逾期归还？	逾期归还是指读者还书时间超过了规定还书日期的情况
如果图书与光盘未能按期归还/逾期归还会怎样？	逾期归还须交纳逾期使用费：中文图书0.30元/册/日；光盘0.30元/册/日；外文图书0.50元/册/日
逾期费用如何计算？	中文图书0.30元/册/日；光盘0.30元/册/日；外文图书0.50元/册/日
逾期归还中文图书每册多少钱？	0.30元/册/日
逾期归还的光盘每册多少钱？	0.30元/册/日
逾期归还的外文图书每册多少钱？	0.50元/册/日
如何外借本馆未收藏的文献？	如果所需文献本馆未收藏, 可到文献提供中心办理馆际互借手续, 并交纳相应费用
是否可以外借本馆未收藏的文献？	可以，到文献提供中心办理馆际互借手续即可
在哪办理馆际互借手续？	文献提供中心
馆际互借手续时免费的吗？	不是，须交纳相应费用
外借本馆未收藏的文献需要什么手续？	馆际互借手续
什么地方的图书与光盘不得擅自携出室外	借阅区，阅览室
借阅区的什么不得擅自携出室外？	图书与光盘
借阅区的图书与光盘可以携出室外吗？	不可以
什么人会被全馆置停？	有违规行为，且情节严重的人
全馆置停怎么恢复？	待接受处理并纠正后
